data_year,data_month,kind,fcc_dir,filename,url,size,sha256,s3_key,staged
2015,11,raw,2016,data-raw-2015-nov.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2016/data-raw-2015-nov.tar.gz,3607474538,a5519c946d4079e8ad2bd0f55269a6a294d30ecd65ca75c9dcc90b438e59c951,fcc-mba/2015/raw/data-raw-2015-nov.tar.gz,1
2015,12,raw,2016,data-raw-2015-dec.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2016/data-raw-2015-dec.tar.gz,3255470410,896d75c78f32c1223123933d6f367e3b7ca5de829066a452bc4be03640d7879d,fcc-mba/2015/raw/data-raw-2015-dec.tar.gz,1
2016,1,raw,2017,data-raw-2016-jan.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-jan.tar.gz,3534582746,61c8b04572092b1e698a84d7503deb1a1fedaa8be27d66f30d499721b725e0b7,fcc-mba/2016/raw/data-raw-2016-jan.tar.gz,1
2016,2,raw,2017,data-raw-2016-feb.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-feb.tar.gz,8647513465,8e5ce6c6c2b9909418ab91c1765ec6a412b9ddeb021a84d7db45d903819b766d,fcc-mba/2016/raw/data-raw-2016-feb.tar.gz,1
2016,3,raw,2017,data-raw-2016-mar.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-mar.tar.gz,6165258885,e70fec070b5e145ddabb9b8549b01a285fc538db64e215ddba26c69b072ac7f5,fcc-mba/2016/raw/data-raw-2016-mar.tar.gz,1
2016,4,raw,2017,data-raw-2016-apr.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-apr.tar.gz,3292202825,2036fd41e69f0c6b82d3fe81942be5973001c2ac88909a47cc150fc16acb73ea,fcc-mba/2016/raw/data-raw-2016-apr.tar.gz,1
2016,5,raw,2017,data-raw-2016-may.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-may.tar.gz,3350345943,4de9a020019c5526e66c895388e859b1db0c4dacc0ee4e4f70ee57ebd70f2eef,fcc-mba/2016/raw/data-raw-2016-may.tar.gz,1
2016,6,raw,2017,data-raw-2016-jun.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-jun.tar.gz,2488214092,f93de5c4f1705f82e2ee33d82083d8ee53885c244ca3ec8291c421b87170d91c,fcc-mba/2016/raw/data-raw-2016-jun.tar.gz,1
2016,7,raw,2017,data-raw-2016-jul.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-jul.tar.gz,2088069105,a5bb0e473303a43ae436ff5be71387d0d1efafa9c2f9a1fb0167dbb7abb01a2f,fcc-mba/2016/raw/data-raw-2016-jul.tar.gz,1
2016,8,raw,2017,data-raw-2016-aug.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-aug.tar.gz,3011564801,cdb0aab5e67617b82b658583c9c87111adb566afe732f5df8a9ea778cf4eed22,fcc-mba/2016/raw/data-raw-2016-aug.tar.gz,1
