data_year,data_month,dataset,technology,n_units,rc,tis
2014,10,raw,fiber,538,12,0
2014,10,raw,overall,5380,524,47
2014,11,raw,cable,2753,206,3
2014,11,raw,dsl,1327,180,41
2014,11,raw,fiber,538,13,0
2014,11,raw,overall,5352,524,51
2014,12,raw,cable,2607,229,4
2014,12,raw,dsl,1287,186,52
2014,12,raw,fiber,522,8,0
2014,12,raw,overall,5160,565,65
2015,1,raw,cable,1955,198,6
2015,1,raw,dsl,1021,157,33
2015,1,raw,fiber,446,17,1
2015,1,raw,overall,5121,623,56
2015,2,raw,cable,1968,180,8
2015,2,raw,dsl,1009,142,47
2015,2,raw,fiber,447,17,2
2015,2,raw,overall,5044,567,79
2015,3,raw,cable,2015,240,4
2015,3,raw,dsl,1019,131,83
2015,3,raw,fiber,450,17,6
2015,3,raw,overall,4998,656,120
2015,4,raw,cable,2083,256,5
2015,4,raw,dsl,1019,125,63
2015,4,raw,fiber,456,12,8
2015,4,raw,overall,4986,665,99
2015,5,raw,cable,2096,224,10
2015,5,raw,dsl,1031,129,58
2015,5,raw,fiber,452,8,1
2015,5,raw,overall,4933,612,84
2015,6,raw,cable,2069,242,10
2015,6,raw,dsl,1029,130,56
2015,6,raw,fiber,461,9,1
2015,6,raw,overall,4786,633,86
2015,7,raw,cable,2092,211,5
2015,7,raw,dsl,1013,133,20
2015,7,raw,fiber,458,9,0
2015,7,raw,overall,4656,572,37
2015,8,raw,cable,2152,185,8
2015,8,raw,dsl,1029,154,64
2015,8,raw,fiber,465,9,1
2015,8,raw,overall,4598,586,80
2015,9,raw,cable,2346,261,3
2015,9,raw,dsl,1116,163,38
2015,9,raw,fiber,485,13,1
2015,9,raw,overall,4886,679,49
2015,9,validated,cable,2353,161,13
2015,9,validated,dsl,1397,215,98
2015,9,validated,fiber,517,17,1
2015,9,validated,overall,4384,432,113
2015,10,raw,cable,2447,210,12
2015,10,raw,dsl,1376,184,80
2015,10,raw,fiber,495,10,3
2015,10,raw,overall,5272,608,107
2015,11,raw,cable,2333,178,7
2015,11,raw,dsl,1383,172,82
2015,11,raw,fiber,494,13,2
2015,11,raw,overall,5226,571,106
2015,12,raw,cable,2257,181,15
2015,12,raw,dsl,1343,169,68
2015,12,raw,fiber,472,11,3
2015,12,raw,overall,5071,551,104
2016,1,raw,cable,1857,185,9
2016,1,raw,dsl,967,149,45
2016,1,raw,fiber,360,7,1
2016,1,raw,overall,4980,641,95
2016,2,raw,cable,1870,159,3
2016,2,raw,dsl,967,110,28
2016,2,raw,fiber,365,6,3
2016,2,raw,overall,4879,532,65
2016,3,raw,cable,1888,159,1
2016,3,raw,dsl,989,124,34
2016,3,raw,fiber,368,5,1
2016,3,raw,overall,4826,550,60
2016,4,raw,cable,1901,147,4
2016,4,raw,dsl,1005,112,40
2016,4,raw,fiber,367,6,4
2016,4,raw,overall,4761,497,73
2016,5,raw,cable,1924,152,5
2016,5,raw,dsl,1002,115,32
2016,5,raw,fiber,373,6,1
2016,5,raw,overall,4705,508,65
2016,6,raw,cable,1918,144,4
2016,6,raw,dsl,995,123,38
2016,6,raw,fiber,369,9,0
2016,6,raw,overall,4564,471,63
2016,7,raw,cable,0,0,0
2016,7,raw,dsl,0,0,0
2016,7,raw,fiber,0,0,0
2016,7,raw,overall,0,0,0
2016,8,raw,cable,1947,148,1
2016,8,raw,dsl,1241,133,32
2016,8,raw,fiber,411,6,1
2016,8,raw,overall,4716,495,44
2016,9,raw,cable,2059,111,8
2016,9,raw,dsl,1393,161,47
2016,9,raw,fiber,500,8,0
2016,9,raw,overall,5059,507,72
2016,9,validated,cable,1878,99,7
2016,9,validated,dsl,1295,150,35
2016,9,validated,fiber,493,6,0
2016,9,validated,overall,3778,350,42
2016,10,raw,cable,1918,84,6
2016,10,raw,dsl,1392,165,54
2016,10,raw,fiber,506,8,1
2016,10,raw,overall,4936,492,73
2016,11,raw,cable,1929,95,5
2016,11,raw,dsl,1380,156,32
