data_year,data_month,dataset,n_units,rc,tis,technology
2014,10,raw,538,12,0,fiber
2014,10,raw,5380,524,47,overall
2014,11,raw,2753,206,3,cable
2014,11,raw,1327,180,41,dsl
2014,11,raw,538,13,0,fiber
2014,11,raw,5352,524,51,overall
2014,12,raw,2607,229,4,cable
2014,12,raw,1287,186,52,dsl
2014,12,raw,522,8,0,fiber
2014,12,raw,5160,565,65,overall
2015,1,raw,1955,198,6,cable
2015,1,raw,1021,157,33,dsl
2015,1,raw,446,17,1,fiber
2015,1,raw,5121,623,56,overall
2015,2,raw,1968,180,8,cable
2015,2,raw,1009,142,47,dsl
2015,2,raw,447,17,2,fiber
2015,2,raw,5044,567,79,overall
2015,3,raw,2015,240,4,cable
2015,3,raw,1019,131,83,dsl
2015,3,raw,450,17,6,fiber
2015,3,raw,4998,656,120,overall
2015,4,raw,2083,256,5,cable
2015,4,raw,1019,125,63,dsl
2015,4,raw,456,12,8,fiber
2015,4,raw,4986,665,99,overall
2015,5,raw,2096,224,10,cable
2015,5,raw,1031,129,58,dsl
2015,5,raw,452,8,1,fiber
2015,5,raw,4933,612,84,overall
2015,6,raw,2069,242,10,cable
2015,6,raw,1029,130,56,dsl
2015,6,raw,461,9,1,fiber
2015,6,raw,4786,633,86,overall
2015,7,raw,2092,211,5,cable
2015,7,raw,1013,133,20,dsl
2015,7,raw,458,9,0,fiber
2015,7,raw,4656,572,37,overall
2015,8,raw,2152,185,8,cable
2015,8,raw,1029,154,64,dsl
2015,8,raw,465,9,1,fiber
2015,8,raw,4598,586,80,overall
2015,9,raw,2346,261,3,cable
2015,9,raw,1116,163,38,dsl
2015,9,raw,485,13,1,fiber
2015,9,raw,4886,679,49,overall
2015,9,validated,2353,161,13,cable
2015,9,validated,1397,215,98,dsl
2015,9,validated,517,17,1,fiber
2015,9,validated,4384,432,113,overall
2015,10,raw,2447,210,12,cable
2015,10,raw,1376,184,80,dsl
2015,10,raw,495,10,3,fiber
2015,10,raw,5272,608,107,overall
2015,11,raw,2333,178,7,cable
2015,11,raw,1383,172,82,dsl
2015,11,raw,494,13,2,fiber
2015,11,raw,5226,571,106,overall
